1 Day Post Growth Rank,Change in 1 Day Post Growth Rank,Sound Title,Sound Artist,Sound URL,Sound Sodatone ID,Total Post Count,Post Count 1 Day Delta,Post Count 2 Day Delta,Post Count 3 Day Delta,Post Count 7 Day Delta,Post Count 14 Day Delta,Week Over Week Growth,Chances of Reaching 50K Posts,Chances of Reaching 100K Posts,Chances of Reaching 500K Posts,Chances of Reaching 1M posts,5 Day Post Count Growth Rate,7 Day Delta Over Total Posts,7 Day Delta Over 14 Day Delta,3 Day Delta Over 7 Day Delta,2 Day Delta Over 3 Day Delta,1 Day Delta Over 3 Day Delta
47,-6,Heartburn,Wafia,https://m.tiktok.com/h5/share/music/7061030409143880454.html?language=en&source=h5_m&u_code=e0chj458lgdh58&_d=e0chj458lgdh58&share_music_id=7061030409143880454,465507044,45349,994.0,2161.0,3517.0,9531.0,29432.0,-0.5210793427465956,0.82,0.478,0.035,0.016,0.030360658564742703,0.21017001477430594,0.32383120413155747,0.3690064001678733,0.6144441285186238,0.28262723912425364
48,-11,Here's Your Perfect,Jamie Miller,https://m.tiktok.com/h5/share/music/6992408484046244634.html?language=en&source=h5_m&u_code=e0ci56m3ek32be&_d=e0ci56m3ek32be&share_music_id=6992408484046244634,412803946,427954,981.0,2250.0,3657.0,6969.0,11396.0,0.5742037497176418,1.0,1.0,0.827,0.381,0.002557649581749595,0.016284460479397318,0.6115303615303616,0.5247524752475248,0.6152584085315833,0.2682526661197703
49,N/A,Jealous (feat. Lexii Alijai),Kehlani,https://m.tiktok.com/h5/share/music/24303781.html?language=en&source=h5_m&u_code=e0ci8597albcc3&_d=e0ci8597albcc3&share_music_id=24303781,94688042,936,930.0,930.0,930.0,930.0,931.0,929.0,0.102,0.083,0.035,0.016,31.0,0.9935897435897436,0.9989258861439313,1.0,1.0,1.0
50,0,Talking to the Moon,Bruno Mars,https://m.tiktok.com/h5/share/music/6705031665275652097.html?language=en&source=h5_m&u_code=e0chb9imcch4lm&_d=e0chb9imcch4lm&share_music_id=6705031665275652097,13331580,428167,926.0,1890.0,2663.0,7358.0,32173.0,-0.7034857948821277,1.0,1.0,0.827,0.381,0.0017845354358085894,0.017184883468366316,0.22870108476051348,0.36191899972818703,0.7097258730754787,0.3477281261734885
51,+7,See You Again (feat. Charlie Puth),Wiz Khalifa,https://m.tiktok.com/h5/share/music/7065419899367115526.html?language=en&source=h5_m&u_code=e0ci14jdcl6j36&_d=e0ci14jdcl6j36&share_music_id=7065419899367115526,471321455,13432,917.0,1631.0,2266.0,6006.0,nan,nan,0.303,0.174,0.035,0.016,0.06512085944494178,0.4471411554496724,nan,0.3772893772893773,0.7197705207413946,0.40467784642541926
52,-4,Rules,Killumantii,https://m.tiktok.com/h5/share/music/7059793332054149934.html?language=en&source=h5_m&u_code=e0ci0f43i7gkag&_d=e0ci0f43i7gkag&share_music_id=7059793332054149934,465137633,36891,869.0,1865.0,3701.0,8983.0,19741.0,-0.1649934932143521,0.671,0.382,0.035,0.016,0.039531381761233546,0.24350112493562115,0.4550428043158908,0.41200044528553936,0.5039178600378276,0.23480140502566874
53,+55,Locked out of Heaven,Bruno Mars,https://m.tiktok.com/h5/share/music/6974932589048023813.html?language=en&source=h5_m&u_code=e0chdd8m81cg4f&_d=e0chdd8m81cg4f&share_music_id=6974932589048023813,404397773,91696,841.0,1096.0,1446.0,2714.0,4529.0,0.4953168044077135,1.0,0.909,0.035,0.016,0.0047685479882272315,0.029597801430814866,0.5992492824022964,0.5327929255711128,0.7579529737206085,0.5816044260027663
54,+621,Photograph,Ed Sheeran,https://m.tiktok.com/h5/share/music/6705017357909100545.html?language=en&source=h5_m&u_code=e0chcdf9ga3iic&_d=e0chcdf9ga3iic&share_music_id=6705017357909100545,227624385,192162,824.0,1576.0,2210.0,4936.0,11876.0,-0.2887608069164265,1.0,1.0,0.273,0.13,0.003584267120007158,0.025686660213777957,0.41562815762883126,0.44773095623987036,0.7131221719457014,0.3728506787330317
55,0,Photograph,Ed Sheeran,https://m.tiktok.com/h5/share/music/6739884087982426113.html?language=en&source=h5_m&u_code=e0ci14jdcl6j36&_d=e0ci14jdcl6j36&share_music_id=6739884087982426113,325350488,85932,821.0,1596.0,2360.0,5277.0,10685.0,-0.024223372781065088,1.0,0.818,0.035,0.016,0.008921524073764023,0.06140902108644044,0.49386991109031353,0.44722380140231194,0.676271186440678,0.3478813559322034
56,-7,Truth Hurts,Lizzo,https://m.tiktok.com/h5/share/music/7050631946740943662.html?language=en&source=h5_m&u_code=e0chamm5038c16&_d=e0chamm5038c16&share_music_id=7050631946740943662,464344769,44935,811.0,1782.0,3508.0,9964.0,30634.0,-0.517948717948718,0.82,0.478,0.035,0.016,0.030570215889172636,0.22174251696895517,0.32525951557093424,0.3520674427940586,0.507981755986317,0.23118586088939566
