1 Day Post Growth Rank,Change in 1 Day Post Growth Rank,Sound Title,Sound Artist,Sound URL,Sound Sodatone ID,Total Post Count,Post Count 1 Day Delta,Post Count 2 Day Delta,Post Count 3 Day Delta,3 Day Post Growth Rank,Change in 3 Day Post Growth Rank,Post Count 7 Day Delta,7 Day Post Growth Rank,Change in 7 Day Post Growth Rank,Post Count 14 Day Delta,Week Over Week Growth,Chances of Reaching 50K Posts,Chances of Reaching 100K Posts,Chances of Reaching 500K Posts,Chances of Reaching 1M posts,5 Day Post Count Growth Rate,7 Day Delta Over Total Posts,7 Day Delta Over 14 Day Delta,3 Day Delta Over 7 Day Delta,2 Day Delta Over 3 Day Delta,1 Day Delta Over 3 Day Delta
12,-3,No Idea,Don Toliver,https://m.tiktok.com/h5/share/music/7062549170154244891.html?language=en&source=h5_m&u_code=e0ci1ad6jcbe6l&_d=e0ci1ad6jcbe6l&share_music_id=7062549170154244891,466977946,194901,4706.0,10305.0,15370.0,0,0,43293.0,0,0,124358.0,-0.46594707950410164,1.0,1.0,0.273,0.13,0.030205754518808525,0.22212815737220434,0.3481320059827273,0.3550227519460421,0.6704619388418998,0.30618087182823683
13,0,BOOM,Tiësto,https://m.tiktok.com/h5/share/music/6542955494212897537.html?language=en&source=h5_m&u_code=e0ci4eglh35023&_d=e0ci4eglh35023&share_music_id=6542955494212897537,374167,761463,4696.0,9220.0,13922.0,0,0,33182.0,0,0,64037.0,0.07541727434775564,1.0,1.0,1.0,0.697,0.0063030713658599104,0.04357664128132293,0.5181691834408233,0.4195648243023326,0.6622611693722167,0.33730785806636976
14,+1,Don't Be Shy,Tiësto,https://www.tiktok.com/music/Don%27t-Be-Shy-6992044838635964417?_r=1&language=en&source=h5_m&u_code=e0ci1a21gib1m4&_d=e0ci1a21gib1m4&share_music_id=6992044838635964417,412800826,831290,3902.0,7599.0,10954.0,0,0,24422.0,0,0,49471.0,-0.02503093935885664,1.0,1.0,1.0,0.78,0.0043921063019434475,0.029378435924887824,0.49366295405389016,0.4485300139218737,0.6937191893372284,0.35621690706591197
15,N/A,Did I,Kehlani,https://m.tiktok.com/h5/share/music/116185718.html?language=en&source=h5_m&u_code=e0ci6b90jjmede&_d=e0ci6b90jjmede&share_music_id=116185718,2375343,3791,3785.0,3785.0,3785.0,0,0,3785.0,0,0,3785.0,0.0,0.102,0.488,0.035,0.016,126.16666666666667,0.9984173041413875,1.0,1.0,1.0,1.0
16,0,You (feat. Travis Scott),Don Toliver,https://m.tiktok.com/h5/share/music/7053496388780526362.html?language=en&source=h5_m&u_code=e0chd0i253ejl6&_d=e0chd0i253ejl6&share_music_id=7053496388780526362,456870281,291147,3245.0,6504.0,10798.0,0,0,28833.0,0,0,65834.0,-0.22075079051917515,1.0,1.0,0.172,0.211,0.014873113327302262,0.09903244752650722,0.4379651851626819,0.37450143932299795,0.6023337655121319,0.3005186145582515
17,-3,Sparks,Coldplay,https://m.tiktok.com/h5/share/music/7067009326149372719.html?language=en&source=h5_m&u_code=e0ci2edjc0b615&_d=e0ci2edjc0b615&share_music_id=7067009326149372719,472187997,57980,3056.0,7279.0,13118.0,0,0,44255.0,0,0,nan,nan,1.0,0.58,0.035,0.016,0.11361522597689687,0.7632804415315626,nan,0.2964184837871427,0.554886415612136,0.23296234182039946
18,+7,nan,nan,https://www.tiktok.com/music/Light-Switch-7044012275094521857?_r=1&language=en&source=h5_m&u_code=e0ci6b4c692jb0&_d=e0ci6b4c692jb0&share_music_id=7044012275094521857,449526908,180085,2815.0,4705.0,7452.0,0,0,20259.0,0,0,50650.0,-0.33338817413049915,1.0,1.0,0.273,0.13,0.015892034477634154,0.11249687647499791,0.3999802566633761,0.36783651710350956,0.6313741277509394,0.37775093934514226
19,+8,Hollywood,MARINA,https://m.tiktok.com/h5/share/music/7064975334369725186.html?language=en&source=h5_m&u_code=e0chhfh5d063gk&_d=e0chhfh5d063gk&share_music_id=7064975334369725186,469840716,7905,2774.0,4568.0,6393.0,0,0,7894.0,0,0,7904.0,788.4,0.102,0.488,0.035,0.016,0.7524345999618101,0.9986084756483239,0.9987348178137652,0.8098555865214087,0.7145315188487408,0.433912091349914
20,-2,Tội Cho Anh,Lữ Bình,https://www.tiktok.com/music/RIP-by-Faouzia-7065425482363308805?_r=1&language=en&source=h5_m&u_code=e0chefd2j96330&_d=e0chefd2j96330&share_music_id=7065425482363308805,470846272,15577,2730.0,5629.0,8130.0,0,0,14682.0,0,0,nan,nan,0.303,0.328,0.035,0.016,0.3456675096499401,0.9425434936123772,nan,0.5537392725786677,0.6923739237392373,0.33579335793357934
21,-1,Let Her Go,Jasmine Thompson,https://www.tiktok.com/music/original-sound-eiChelle%F0%9F%96%A4%F0%9F%94%A5%F0%9F%87%B5%F0%9F%87%AD%F0%9F%87%B8%F0%9F%87%AC-7011910825149483777?_r=1&language=en&source=h5_m&u_code=e0chm6a8g9l9gb&_d=e0chm6a8g9l9gb&share_music_id=7011910825149483777,430248689,244634,2693.0,4887.0,6700.0,0,0,14775.0,0,0,36607.0,-0.32324111396115796,1.0,1.0,0.172,0.211,0.008339695185400746,0.06039634719621966,0.40361133116617043,0.45346869712351945,0.7294029850746269,0.4019402985074627
22,0,At My Worst,Pink Sweat$,https://m.tiktok.com/h5/share/music/6849271167547607041.html?language=en&source=h5_m&u_code=e0ci3a18k482k9&_d=e0ci3a18k482k9&share_music_id=6849271167547607041,153216336,2468211,2239.0,4297.0,5990.0,0,0,13635.0,0,0,26329.0,0.07412951000472665,1.0,1.0,1.0,1.0,0.0008258189709935702,0.005524244077998194,0.5178700292453189,0.4393105977264393,0.7173622704507513,0.3737896494156928
23,-4,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,CKay,https://www.tiktok.com/music/love-nwantiti-feat-Dj-Yo-AX%27EL-7005960532561807361?_r=1&language=en&source=h5_m&u_code=e0ci1894i9k9bi&_d=e0ci1894i9k9bi&share_music_id=7005960532561807361,420348727,1032650,2153.0,4348.0,6472.0,0,0,15591.0,0,0,32745.0,-0.09111577474641483,1.0,1.0,1.0,1.0,0.002207096276533864,0.015098048709630562,0.4761337608795236,0.4151112821499583,0.6718170580964153,0.332663782447466
24,-3,nan,nan,https://www.tiktok.com/music/primadonna-girl-7054685133210700590?_r=1&language=en&source=h5_m&u_code=e0ci5j3e9ji0g5&_d=e0ci5j3e9ji0g5&share_music_id=7054685133210700590,459292705,92244,2114.0,4269.0,7591.0,0,0,22547.0,0,0,45401.0,-0.013433097050844492,1.0,0.909,0.035,0.016,0.03945766053300869,0.24442782186375264,0.49661901720226426,0.3366745021510622,0.5623764984850481,0.2784876827822421
