1 Day Song Growth Rank,Change in 1 Day Song Growth Rank,1 Day Video Count Change,Song Title,Song Artist,Aggregate Video Count,Change in Video Count over Past 7 Days,Aggregate Video Views,Aggregate Video Engagements,Aggregate Sound Count,Top Performing Sound URLs
11,+3093,3784.0,Did I,Kehlani,178394.0,3784.0,3127437.0,1972207.0,8.0,"['https://m.tiktok.com/h5/share/music/18288723.html?language=en&source=h5_m&u_code=e0ci0b01b13i59&_d=e0ci0b01b13i59&share_music_id=18288723', 'https://m.tiktok.com/h5/share/music/20547530.html?language=en&source=h5_m&u_code=e0ci5m7l7d9783&_d=e0ci5m7l7d9783&share_music_id=20547530', 'https://m.tiktok.com/h5/share/music/25108514.html?language=en&source=h5_m&u_code=e0chh7g7figimi&_d=e0chh7g7figimi&share_music_id=25108514']"
12,-4,2778.0,Sparks,Coldplay,952354.0,46909.0,2038377043.0,446932688.0,77.0,"['https://m.tiktok.com/h5/share/music/7046914099027954437.html?language=en&source=h5_m&u_code=e0ci1lfm8ab17h&_d=e0ci1lfm8ab17h&share_music_id=7046914099027954437', 'https://m.tiktok.com/h5/share/music/6711175901154904065.html?language=en&source=h5_m&u_code=e0ci0j65gel8lf&_d=e0ci0j65gel8lf&share_music_id=6711175901154904065', 'https://www.tiktok.com/music/original-sound-7053871565548555054?_r=1&language=en&source=h5_m&u_code=e0ci64k6520i54&_d=e0ci64k6520i54&share_music_id=7053871565548555054']"
13,+1,2774.0,Hollywood,MARINA,13757.0,7863.0,49617447.0,6892073.0,88.0,"['https://m.tiktok.com/h5/share/music/7064975334369725186.html?language=en&source=h5_m&u_code=e0chhfh5d063gk&_d=e0chhfh5d063gk&share_music_id=7064975334369725186', 'https://m.tiktok.com/h5/share/music/6690027050683697926.html?language=en&source=h5_m&u_code=e0chh621h9mg34&_d=e0chh621h9mg34&share_music_id=6690027050683697926', 'https://m.tiktok.com/h5/share/music/6705059659633428482.html?language=en&source=h5_m&u_code=e0chhie3hjk377&_d=e0chhie3hjk377&share_music_id=6705059659633428482']"
14,+3,2748.0,Marvin Gaye (feat. Meghan Trainor),Charlie Puth,121551.0,21413.0,265133008.0,44017577.0,34.0,"['https://www.tiktok.com/music/Marvin-Gaye-6942820143857257218?_r=1&language=en&source=h5_m&u_code=e0chh11bci7blf&_d=e0chh11bci7blf&share_music_id=6942820143857257218', 'https://www.tiktok.com/music/original-sound-33-7064596553800993562?_r=1&language=en&source=h5_m&u_code=e0ci2j0d8e4i1l&_d=e0ci2j0d8e4i1l&share_music_id=7064596553800993562', 'https://m.tiktok.com/h5/share/music/6460699015163546382.html?language=en&source=h5_m&u_code=e0chkm5djhfhkg&_d=e0chkm5djhfhkg&share_music_id=6460699015163546382']"
15,+13,2627.0,Let Her Go,Jasmine Thompson,794612.0,13781.0,432036277.0,56925585.0,106.0,"['https://www.tiktok.com/music/original-sound-eiChelle%F0%9F%96%A4%F0%9F%94%A5%F0%9F%87%B5%F0%9F%87%AD%F0%9F%87%B8%F0%9F%87%AC-7011910825149483777?_r=1&language=en&source=h5_m&u_code=e0chm6a8g9l9gb&_d=e0chm6a8g9l9gb&share_music_id=7011910825149483777', 'https://m.tiktok.com/h5/share/music/6615364702308403973.html?language=en&source=h5_m&u_code=e0ci87g9i7ge7h&_d=e0ci87g9i7ge7h&share_music_id=6615364702308403973', 'https://m.tiktok.com/h5/share/music/6649019614422371077.html?language=en&source=h5_m&u_code=e0ci76c5kbi349&_d=e0ci76c5kbi349&share_music_id=6649019614422371077']"
16,+2,2477.0,Photograph,Ed Sheeran,1110593.0,15243.0,2303243895.0,311548654.0,99.0,"['https://m.tiktok.com/h5/share/music/6705017357909100545.html?language=en&source=h5_m&u_code=e0chcdf9ga3iic&_d=e0chcdf9ga3iic&share_music_id=6705017357909100545', 'https://m.tiktok.com/h5/share/music/6864713797710383877.html?language=en&source=h5_m&u_code=e0chhe902jmiig&_d=e0chhe902jmiig&share_music_id=6864713797710383877', 'https://m.tiktok.com/h5/share/music/7022988590980336385.html?language=en&source=h5_m&u_code=e0ci384jkm62jf&_d=e0ci384jkm62jf&share_music_id=7022988590980336385']"
17,-6,2206.0,At My Worst,Pink Sweat$,3374155.0,12445.0,2787809391.0,297533245.0,77.0,"['https://m.tiktok.com/h5/share/music/6849271167547607041.html?language=en&source=h5_m&u_code=e0ci3a18k482k9&_d=e0ci3a18k482k9&share_music_id=6849271167547607041', 'https://www.tiktok.com/music/At-My-Worst-6878204294043060993?_r=1&language=en&source=h5_m&u_code=e0ci48agg5k564&_d=e0ci48agg5k564&share_music_id=6878204294043060993', 'https://m.tiktok.com/h5/share/music/6914289014048639746.html?language=en&source=h5_m&u_code=e0ci6mglk9mad5&_d=e0ci6mglk9mad5&share_music_id=6914289014048639746']"
18,-5,2202.0,Riptide,Vance Joy,629851.0,24284.0,1874201759.0,308423785.0,393.0,"['https://m.tiktok.com/h5/share/music/6704975904373737474.html?language=en&source=h5_m&u_code=e0ci16haddiagf&_d=e0ci16haddiagf&share_music_id=6704975904373737474', 'https://www.tiktok.com/music/RIPTIDE-6941743842018233094?enter_from=h5_t&source=h5_t', 'https://m.tiktok.com/h5/share/music/6798951304485047045.html?language=en&source=h5_m&u_code=e0ci0h20e35b6i&_d=e0ci0h20e35b6i&share_music_id=6798951304485047045']"
19,+6,1829.0,The Way Life Goes (feat. Nicki Minaj & Oh Wonder) - Remix,Lil Uzi Vert,327084.0,12024.0,435823776.0,88972056.0,49.0,"['https://m.tiktok.com/h5/share/music/266894442463203328.html?language=en&source=h5_m&u_code=e0chj9f0lchcg6&_d=e0chj9f0lchcg6&share_music_id=266894442463203328', 'https://m.tiktok.com/h5/share/music/6838752601165548293.html?language=en&source=h5_m&u_code=e0ci8j40mec057&_d=e0ci8j40mec057&share_music_id=6838752601165548293', 'https://m.tiktok.com/h5/share/music/6972930446447479558.html?language=en&source=h5_m&u_code=e0che8f30j12k0&_d=e0che8f30j12k0&share_music_id=6972930446447479558']"
20,+10,1769.0,Emiliana,CKay,828827.0,13656.0,810677780.0,50384832.0,61.0,"['https://www.tiktok.com/music/Emiliana-7038934214774917894?_r=1&language=en&source=h5_m&u_code=e0ci77ifg87ce2&_d=e0ci77ifg87ce2&share_music_id=7038934214774917894', 'https://www.tiktok.com/music/Emiliana-by-Ckay-7042304723088706309?_r=1&language=en&source=h5_m&u_code=e0cheilhlk58e2&_d=e0cheilhlk58e2&share_music_id=7042304723088706309', 'https://www.tiktok.com/music/Emiliana-transition-sound-7045007653453581061?_r=1&language=en&source=h5_m&u_code=e0ci57b8dfag2g&_d=e0ci57b8dfag2g&share_music_id=7045007653453581061']"
