1 Day Song Growth Rank,Change in 1 Day Song Growth Rank,1 Day Video Count Change,Song Title,Song Artist,Aggregate Video Count,Change in Video Count over Past 7 Days,Aggregate Video Views,Aggregate Video Engagements,Aggregate Sound Count,Top Performing Sound URLs
21,+77,2551.0,Angel By The Wings,Sia,17935.0,165.0,41676030.0,7591471.0,8.0,"['https://m.tiktok.com/h5/share/music/6631032147102665478.html?language=en&source=h5_m&u_code=e0chflj11bf1d4&_d=e0chflj11bf1d4&share_music_id=6631032147102665478', 'https://m.tiktok.com/h5/share/music/6959728165719771910.html?language=en&source=h5_m&u_code=e0ci7b2i4kbbc6&_d=e0ci7b2i4kbbc6&share_music_id=6959728165719771910', 'https://m.tiktok.com/h5/share/music/7065838597429086982.html?language=en&source=h5_m&u_code=e0ci0i6g0kid03&_d=e0ci0i6g0kid03&share_music_id=7065838597429086982']"
22,+4964,2453.0,No Flockin,Kodak Black,694601.0,2341.0,77176973.0,14513917.0,9.0,"['https://m.tiktok.com/h5/share/music/13074414.html?language=en&source=h5_m&u_code=e0chm2fccfjmm6&_d=e0chm2fccfjmm6&share_music_id=13074414', 'https://m.tiktok.com/h5/share/music/6075870.html?language=en&source=h5_m&u_code=e0ci1g3bjfa5l5&_d=e0ci1g3bjfa5l5&share_music_id=6075870', 'https://m.tiktok.com/h5/share/music/224275397323108352.html?language=en&source=h5_m&u_code=e0chkkef121gc9&_d=e0chkkef121gc9&share_music_id=224275397323108352']"
23,+4994,2415.0,Jenny (I Wanna Ruin Our Friendship),Studio Killers,4001599.0,-9838.0,5818892753.0,698803453.0,290.0,"['https://m.tiktok.com/h5/share/music/7037203934725114629.html?language=en&source=h5_m&u_code=e0chd0i253ejl6&_d=e0chd0i253ejl6&share_music_id=7037203934725114629', 'https://m.tiktok.com/h5/share/music/6999031076001745670.html?language=en&source=h5_m&u_code=e0ci461mi2g7lk&_d=e0ci461mi2g7lk&share_music_id=6999031076001745670', 'https://m.tiktok.com/h5/share/music/7042696867926313729.html?language=en&source=h5_m&u_code=e0chgi38alki53&_d=e0chgi38alki53&share_music_id=7042696867926313729']"
24,+15,2213.0,Sweet but Psycho - Leon Lour Remix,Ava Max,2447029.0,9551.0,212830074.0,16605888.0,189.0,"['https://m.tiktok.com/h5/share/music/5000000001454789016.html?language=en&source=h5_m&u_code=e0ci2hg8cammc4&_d=e0ci2hg8cammc4&share_music_id=5000000001454789016', 'https://m.tiktok.com/h5/share/music/6635344742580226053.html?language=en&source=h5_m&u_code=e0ci0kb5ilg859&_d=e0ci0kb5ilg859&share_music_id=6635344742580226053', 'https://m.tiktok.com/h5/share/music/5000000001449718908.html?language=en&source=h5_m&u_code=e0ci662kc8476i&_d=e0ci662kc8476i&share_music_id=5000000001449718908']"
25,+1,2176.0,The Way Life Goes (feat. Nicki Minaj & Oh Wonder) - Remix,Lil Uzi Vert,325255.0,11792.0,433972547.0,88591844.0,49.0,"['https://m.tiktok.com/h5/share/music/266894442463203328.html?language=en&source=h5_m&u_code=e0chj9f0lchcg6&_d=e0chj9f0lchcg6&share_music_id=266894442463203328', 'https://m.tiktok.com/h5/share/music/6838752601165548293.html?language=en&source=h5_m&u_code=e0ci8j40mec057&_d=e0ci8j40mec057&share_music_id=6838752601165548293', 'https://m.tiktok.com/h5/share/music/6972930446447479558.html?language=en&source=h5_m&u_code=e0che8f30j12k0&_d=e0che8f30j12k0&share_music_id=6972930446447479558']"
26,+4,2113.0,Locked out of Heaven,Bruno Mars,1617365.0,9205.0,4416731500.0,639869163.0,166.0,"['https://m.tiktok.com/h5/share/music/6704976866073151490.html?language=en&source=h5_m&u_code=e0chkbk60038ff&_d=e0chkbk60038ff&share_music_id=6704976866073151490', 'https://m.tiktok.com/h5/share/music/7042750898057104134.html?language=en&source=h5_m&u_code=e0ci7a9d38dfih&_d=e0ci7a9d38dfih&share_music_id=7042750898057104134', 'https://m.tiktok.com/h5/share/music/7041766838681881350.html?language=en&source=h5_m&u_code=e0ci20he9h9m7l&_d=e0ci20he9h9m7l&share_music_id=7041766838681881350']"
27,+267,2037.0,Adventure of a Lifetime,Coldplay,89520.0,2160.0,285114967.0,49972055.0,18.0,"['https://m.tiktok.com/h5/share/music/6705083088147318786.html?language=en&source=h5_m&u_code=e0chg8213fee7j&_d=e0chg8213fee7j&share_music_id=6705083088147318786', 'https://m.tiktok.com/h5/share/music/6855403338339814150.html?language=en&source=h5_m&u_code=e0chje2l69j3k1&_d=e0chje2l69j3k1&share_music_id=6855403338339814150', 'https://m.tiktok.com/h5/share/music/6954060472815602437.html?language=en&source=h5_m&u_code=e0chfbkd3k9h08&_d=e0chfbkd3k9h08&share_music_id=6954060472815602437']"
28,-1,2022.0,Let Her Go,Jasmine Thompson,791985.0,13124.0,431778988.0,56909654.0,106.0,"['https://m.tiktok.com/h5/share/music/7011910825149483777.html?language=en&source=h5_m&u_code=e0chm3l6hmg08j&_d=e0chm3l6hmg08j&share_music_id=7011910825149483777', 'https://m.tiktok.com/h5/share/music/6615364702308403973.html?language=en&source=h5_m&u_code=e0ci87g9i7ge7h&_d=e0ci87g9i7ge7h&share_music_id=6615364702308403973', 'https://m.tiktok.com/h5/share/music/6649019614422371077.html?language=en&source=h5_m&u_code=e0ci76c5kbi349&_d=e0ci76c5kbi349&share_music_id=6649019614422371077']"
29,+540,1830.0,Slime Belief,YoungBoy Never Broke Again,7307.0,45.0,9109795.0,1577284.0,3.0,"['https://m.tiktok.com/h5/share/music/6638315044230662149.html?language=en&source=h5_m&u_code=e0chkg70f7di27&_d=e0chkg70f7di27&share_music_id=6638315044230662149', 'https://m.tiktok.com/h5/share/music/6704947007527585794.html?language=en&source=h5_m&u_code=e0chicd159miaa&_d=e0chicd159miaa&share_music_id=6704947007527585794', 'https://m.tiktok.com/h5/share/music/7001596739673164550.html?language=en&source=h5_m&u_code=e0cheife614l99&_d=e0cheife614l99&share_music_id=7001596739673164550']"
30,-11,1612.0,Emiliana,CKay,827058.0,13768.0,808436984.0,50185706.0,61.0,"['https://m.tiktok.com/h5/share/music/7038934214774917894.html?language=en&source=h5_m&u_code=e0chejcdg4dke3&_d=e0chejcdg4dke3&share_music_id=7038934214774917894', 'https://m.tiktok.com/h5/share/music/7042304723088706309.html?language=en&source=h5_m&u_code=e0chga7a79bgk7&_d=e0chga7a79bgk7&share_music_id=7042304723088706309', 'https://m.tiktok.com/h5/share/music/7045007653453581061.html?language=en&source=h5_m&u_code=e0chgd01kj9fl1&_d=e0chgd01kj9fl1&share_music_id=7045007653453581061']"
31,+17,1584.0,Viva La Vida,Coldplay,145367.0,5371.0,273018396.0,32535775.0,19.0,"['https://m.tiktok.com/h5/share/music/6711209819333724162.html?language=en&source=h5_m&u_code=e0chfdmba2ai0k&_d=e0chfdmba2ai0k&share_music_id=6711209819333724162', 'https://m.tiktok.com/h5/share/music/7058146991141948162.html?language=en&source=h5_m&u_code=e0ci1g3gc5f6e8&_d=e0ci1g3gc5f6e8&share_music_id=7058146991141948162', 'https://m.tiktok.com/h5/share/music/5000000001456397844.html?language=en&source=h5_m&u_code=e0chik5e4fac64&_d=e0chik5e4fac64&share_music_id=5000000001456397844']"
32,+205,1476.0,Just the Way You Are,Bruno Mars,895869.0,561.0,514272959.0,78320822.0,54.0,"['https://m.tiktok.com/h5/share/music/6906256329589967622.html?language=en&source=h5_m&u_code=e0chk9396gge0j&_d=e0chk9396gge0j&share_music_id=6906256329589967622', 'https://m.tiktok.com/h5/share/music/235552337493446657.html?language=en&source=h5_m&u_code=e0chlk7fflf1jb&_d=e0chlk7fflf1jb&share_music_id=235552337493446657', 'https://m.tiktok.com/h5/share/music/6705031666038999042.html?language=en&source=h5_m&u_code=e0chh46f1a81d5&_d=e0chh46f1a81d5&share_music_id=6705031666038999042']"
33,+197,1370.0,24K Magic,Bruno Mars,3873961.0,1475.0,1063383101.0,144129070.0,71.0,"['https://m.tiktok.com/h5/share/music/159982866855063552.html?language=en&source=h5_m&u_code=e0ci34d48lg5e1&_d=e0ci34d48lg5e1&share_music_id=159982866855063552', 'https://www.tiktok.com/music/24K-Magic-149205250342608896?enter_from=h5_t&source=h5_t', 'https://www.tiktok.com/share/music/6343138948524542722?enter_from=h5_t']"
34,-6,1366.0,Cheap Thrills,Sia,426947.0,9551.0,1509422107.0,123902244.0,53.0,"['https://m.tiktok.com/h5/share/music/6649545529443388174.html?language=en&source=h5_m&u_code=e0ci6ce1mfd1m6&_d=e0ci6ce1mfd1m6&share_music_id=6649545529443388174', 'https://m.tiktok.com/h5/share/music/113436801.html?language=en&source=h5_m&u_code=e0ci0e57ki8jam&_d=e0ci0e57ki8jam&share_music_id=113436801', 'https://m.tiktok.com/h5/share/music/6699253420135566086.html?language=en&source=h5_m&u_code=e0chf6k6m0i9if&_d=e0chf6k6m0i9if&share_music_id=6699253420135566086']"
35,+8,1352.0,See You Again (feat. Charlie Puth),Wiz Khalifa,3516480.0,6583.0,7608008873.0,1047315367.0,400.0,"['https://m.tiktok.com/h5/share/music/222450148143108096.html?language=en&source=h5_m&u_code=e0chia3bbdgm1f&_d=e0chia3bbdgm1f&share_music_id=222450148143108096', 'https://www.tiktok.com/share/music/6411017160293878529?enter_from=h5_t', 'https://m.tiktok.com/h5/share/music/6704983897970575361.html?language=en&source=h5_m&u_code=e0ci7ae5hbc2il&_d=e0ci7ae5hbc2il&share_music_id=6704983897970575361']"
36,+17,1133.0,Runaway (U & I),Galantis,53780.0,4147.0,760843310.0,98595405.0,10.0,"['https://m.tiktok.com/h5/share/music/6739886964650018818.html?language=en&source=h5_m&u_code=e0chcl7gmg6mc6&_d=e0chcl7gmg6mc6&share_music_id=6739886964650018818', 'https://m.tiktok.com/h5/share/music/6905918485155646214.html?language=en&source=h5_m&u_code=e0ci36l25eilhj&_d=e0ci36l25eilhj&share_music_id=6905918485155646214', 'https://m.tiktok.com/h5/share/music/7039181613195905794.html?language=en&source=h5_m&u_code=e0chk1m3c998k5&_d=e0chk1m3c998k5&share_music_id=7039181613195905794']"
37,-14,1063.0,Here's Your Perfect,Jamie Miller,1505704.0,10847.0,4406504966.0,530763356.0,461.0,"['https://m.tiktok.com/h5/share/music/6955798732885460993.html?language=en&source=h5_m&u_code=e0chml69hid550&_d=e0chml69hid550&share_music_id=6955798732885460993', 'https://m.tiktok.com/h5/share/music/6992408484046244634.html?language=en&source=h5_m&u_code=e0ci56m3ek32be&_d=e0ci56m3ek32be&share_music_id=6992408484046244634', 'https://m.tiktok.com/h5/share/music/6968150712870128386.html?language=en&source=h5_m&u_code=e0ci6jeeh370ej&_d=e0ci6jeeh370ej&share_music_id=6968150712870128386']"
38,-13,1055.0,Heartburn,Wafia,383447.0,11180.0,240122453.0,37269464.0,58.0,"['https://m.tiktok.com/h5/share/music/6637067323041647365.html?language=en&source=h5_m&u_code=e0chm39m5b5g36&_d=e0chm39m5b5g36&share_music_id=6637067323041647365', 'https://m.tiktok.com/h5/share/music/7061030409143880454.html?language=en&source=h5_m&u_code=e0chj458lgdh58&_d=e0chj458lgdh58&share_music_id=7061030409143880454', 'https://m.tiktok.com/h5/share/music/6553161028857762816.html?language=en&source=h5_m&u_code=e0che1fbdmdc19&_d=e0che1fbdmdc19&share_music_id=6553161028857762816']"
39,-7,1019.0,Minefields,Faouzia,293107.0,8357.0,550534308.0,50429892.0,34.0,"['https://m.tiktok.com/h5/share/music/6891734786323269633.html?language=en&source=h5_m&u_code=e0chh10m2hie06&_d=e0chh10m2hie06&share_music_id=6891734786323269633', 'https://m.tiktok.com/h5/share/music/7006066428415576859.html?language=en&source=h5_m&u_code=e0ci1g3bjfa5l5&_d=e0ci1g3bjfa5l5&share_music_id=7006066428415576859', 'https://m.tiktok.com/h5/share/music/7027674240753191707.html?language=en&source=h5_m&u_code=e0ci0j783hm10g&_d=e0ci0j783hm10g&share_music_id=7027674240753191707']"
40,-2,985.0,Island In The Sun,Weezer,333066.0,7175.0,1176441436.0,140167233.0,84.0,"['https://m.tiktok.com/h5/share/music/6826761248797886465.html?language=en&source=h5_m&u_code=e0chek1043c2f3&_d=e0chek1043c2f3&share_music_id=6826761248797886465', 'https://m.tiktok.com/h5/share/music/273719465375350784.html?language=en&source=h5_m&u_code=e0ci4fj10dd2eg&_d=e0ci4fj10dd2eg&share_music_id=273719465375350784', 'https://m.tiktok.com/h5/share/music/6997173558602468101.html?language=en&source=h5_m&u_code=e0chdi3m1ef9cc&_d=e0chdi3m1ef9cc&share_music_id=6997173558602468101']"
41,-23,959.0,Hero (feat. Christina Perri),Cash Cash,627144.0,10877.0,3017179095.0,362708149.0,437.0,"['https://m.tiktok.com/h5/share/music/6586163630444645122.html?language=en&source=h5_m&u_code=e0chiigd2a1d0m&_d=e0chiigd2a1d0m&share_music_id=6586163630444645122', 'https://m.tiktok.com/h5/share/music/6984300289117522714.html?language=en&source=h5_m&u_code=e0chi0e5j7f60f&_d=e0chi0e5j7f60f&share_music_id=6984300289117522714', 'https://m.tiktok.com/h5/share/music/6979089775093435137.html?language=en&source=h5_m&u_code=e0chhe902k2bh9&_d=e0chhe902k2bh9&share_music_id=6979089775093435137']"
42,+1279,931.0,Jealous (feat. Lexii Alijai),Kehlani,1024.0,931.0,2796438.0,2025837.0,10.0,"['https://m.tiktok.com/h5/share/music/24303781.html?language=en&source=h5_m&u_code=e0ci8597albcc3&_d=e0ci8597albcc3&share_music_id=24303781', 'https://m.tiktok.com/h5/share/music/32609621.html?language=en&source=h5_m&u_code=e0ci2d7i951l5d&_d=e0ci2d7i951l5d&share_music_id=32609621', 'https://m.tiktok.com/h5/share/music/20801445.html?language=en&source=h5_m&u_code=e0ci0m75847fj0&_d=e0ci0m75847fj0&share_music_id=20801445']"
43,-14,923.0,Haunted,Laura Les,184517.0,9787.0,370251815.0,69525172.0,49.0,"['https://m.tiktok.com/h5/share/music/6937573901293144065.html?language=en&source=h5_m&u_code=e0ci87cbejdg7f&_d=e0ci87cbejdg7f&share_music_id=6937573901293144065', 'https://m.tiktok.com/h5/share/music/7056088620348115718.html?language=en&source=h5_m&u_code=e0chegb1hkjg8m&_d=e0chegb1hkjg8m&share_music_id=7056088620348115718', 'https://m.tiktok.com/h5/share/music/6910874593171393282.html?language=en&source=h5_m&u_code=e0ci1ad6j8g237&_d=e0ci1ad6j8g237&share_music_id=6910874593171393282']"
44,-24,865.0,Rules,Killumantii,562281.0,11908.0,410213747.0,79147293.0,4.0,"['https://m.tiktok.com/h5/share/music/6548796201171424271.html?language=en&source=h5_m&u_code=e0chj3e2926330&_d=e0chj3e2926330&share_music_id=6548796201171424271', 'https://m.tiktok.com/h5/share/music/7059793332054149934.html?language=en&source=h5_m&u_code=e0ci0f43i7gkag&_d=e0ci0f43i7gkag&share_music_id=7059793332054149934', 'https://m.tiktok.com/h5/share/music/7043104406279310127.html?language=en&source=h5_m&u_code=e0che1fi8f0208&_d=e0che1fi8f0208&share_music_id=7043104406279310127']"
45,+5,796.0,Sweet but Psycho,Ava Max,4184211.0,3074.0,2252357578.0,218805589.0,262.0,"['https://www.tiktok.com/share/music/6612124396851038981?enter_from=h5_t', 'https://m.tiktok.com/h5/share/music/6590960794924484614.html?language=en&source=h5_m&u_code=e0chjfb38h31m2&_d=e0chjfb38h31m2&share_music_id=6590960794924484614', 'https://m.tiktok.com/h5/share/music/6594989243855014657.html?language=en&source=h5_m&u_code=e0ci5jg04gd089&_d=e0ci5jg04gd089&share_music_id=6594989243855014657']"
