1 Day Song Growth Rank,Change in 1 Day Song Growth Rank,1 Day Video Count Change,Song Title,Song Artist,Aggregate Video Count,Change in Video Count over Past 7 Days,Aggregate Video Views,Aggregate Video Engagements,Aggregate Sound Count,Top Performing Sound URLs
1,+36,35760.0,Wiggle (feat. Snoop Dogg),Jason Derulo,1313842.0,6458.0,917216568.0,112358098.0,112.0,"['https://m.tiktok.com/h5/share/music/251424670263107584.html?language=en&source=h5_m&u_code=e0ci43k3b0339b&_d=e0ci43k3b0339b&share_music_id=251424670263107584', 'https://m.tiktok.com/h5/share/music/6481797099754261261.html?language=en&source=h5_m&u_code=e0ci5b80i0m090&_d=e0ci5b80i0m090&share_music_id=6481797099754261261', 'https://m.tiktok.com/h5/share/music/6752971449297832709.html?language=en&source=h5_m&u_code=e0ci291ih0llec&_d=e0ci291ih0llec&share_music_id=6752971449297832709']"
2,+7,34152.0,No Idea,Don Toliver,5290508.0,50436.0,5325252198.0,815294513.0,368.0,"['https://m.tiktok.com/h5/share/music/7045099596397267758.html?language=en&source=h5_m&u_code=e0chi0e5j7f60f&_d=e0chi0e5j7f60f&share_music_id=7045099596397267758', 'https://m.tiktok.com/h5/share/music/6761883349347879685.html?language=en&source=h5_m&u_code=e0chie09a15mmg&_d=e0chie09a15mmg&share_music_id=6761883349347879685', 'https://m.tiktok.com/h5/share/music/6935108446304176902.html?language=en&source=h5_m&u_code=e0chbdm16ijck1&_d=e0chbdm16ijck1&share_music_id=6935108446304176902']"
3,-2,25296.0,Rather Be (feat. Jess Glynne),Clean Bandit,2484683.0,143499.0,3001053842.0,452084115.0,127.0,"['https://m.tiktok.com/h5/share/music/6613817042191518470.html?language=en&source=h5_m&u_code=e0chkh37l9b2e8&_d=e0chkh37l9b2e8&share_music_id=6613817042191518470', 'https://m.tiktok.com/h5/share/music/6590817116121729797.html?language=en&source=h5_m&u_code=e0chka10bfh00f&_d=e0chka10bfh00f&share_music_id=6590817116121729797', 'https://m.tiktok.com/h5/share/music/6996758993192356613.html?language=en&source=h5_m&u_code=e0ci6217ded8ll&_d=e0ci6217ded8ll&share_music_id=6996758993192356613']"
4,+4,17343.0,love nwantiti (ah ah ah) [feat. Joeboy & Kuami Eugene] [Remix],CKay,1129216.0,61174.0,3662767048.0,319750375.0,85.0,"['https://m.tiktok.com/h5/share/music/6738456583379880706.html?language=en&source=h5_m&u_code=e0ci2443jckk3m&_d=e0ci2443jckk3m&share_music_id=6738456583379880706', 'https://m.tiktok.com/h5/share/music/6735198391862560770.html?language=en&source=h5_m&u_code=e0ci5fh4f40j1a&_d=e0ci5fh4f40j1a&share_music_id=6735198391862560770', 'https://m.tiktok.com/h5/share/music/7026114298900744965.html?language=en&source=h5_m&u_code=e0chmmdlh5jdbk&_d=e0chmmdlh5jdbk&share_music_id=7026114298900744965']"
5,+12,8189.0,Infinity,Jaymes Young,8104420.0,30412.0,28880093575.0,2829205349.0,715.0,"['https://m.tiktok.com/h5/share/music/6704992801559414786.html?language=en&source=h5_m&u_code=e0ci1g3bjfa5l5&_d=e0ci1g3bjfa5l5&share_music_id=6704992801559414786', 'https://m.tiktok.com/h5/share/music/7030156423506316034.html?language=en&source=h5_m&u_code=e0chhemi89562l&_d=e0chhemi89562l&share_music_id=7030156423506316034', 'https://m.tiktok.com/h5/share/music/7033036433606773506.html?language=en&source=h5_m&u_code=e0ci21ea90kd4e&_d=e0ci21ea90kd4e&share_music_id=7033036433606773506']"
6,-3,7937.0,Right Foot Creep,YoungBoy Never Broke Again,634894.0,63375.0,582519035.0,75417222.0,66.0,"['https://m.tiktok.com/h5/share/music/6871082689080854530.html?language=en&source=h5_m&u_code=e0ci6d3ae18e86&_d=e0ci6d3ae18e86&share_music_id=6871082689080854530', 'https://m.tiktok.com/h5/share/music/7054967897734597423.html?language=en&source=h5_m&u_code=e0chk9396gkelk&_d=e0chk9396gkelk&share_music_id=7054967897734597423', 'https://m.tiktok.com/h5/share/music/6873858900312017670.html?language=en&source=h5_m&u_code=e0chhemi89562l&_d=e0chhemi89562l&share_music_id=6873858900312017670']"
7,-3,5840.0,abcdefu,GAYLE,3809311.0,61208.0,14982624213.0,1509060144.0,969.0,"['https://m.tiktok.com/h5/share/music/6994724904944568322.html?language=en&source=h5_m&u_code=e0ci26gaf48mjg&_d=e0ci26gaf48mjg&share_music_id=6994724904944568322', 'https://m.tiktok.com/h5/share/music/7010331193157634050.html?language=en&source=h5_m&u_code=e0ci4j86da2806&_d=e0ci4j86da2806&share_music_id=7010331193157634050', 'https://m.tiktok.com/h5/share/music/7028611882210708229.html?language=en&source=h5_m&u_code=e0ci84mad7jcdg&_d=e0ci84mad7jcdg&share_music_id=7028611882210708229']"
8,-1,5517.0,Sparks,Coldplay,949576.0,52446.0,2028255574.0,445095825.0,77.0,"['https://m.tiktok.com/h5/share/music/7046914099027954437.html?language=en&source=h5_m&u_code=e0ci1lfm8ab17h&_d=e0ci1lfm8ab17h&share_music_id=7046914099027954437', 'https://m.tiktok.com/h5/share/music/6711175901154904065.html?language=en&source=h5_m&u_code=e0ci0j65gel8lf&_d=e0ci0j65gel8lf&share_music_id=6711175901154904065', 'https://m.tiktok.com/h5/share/music/7053871565548555054.html?language=en&source=h5_m&u_code=e0chh3l596k281&_d=e0chh3l596k281&share_music_id=7053871565548555054']"
9,+2,4598.0,Before I Knew It,Mason Ramsey,460385.0,36595.0,2254652877.0,253934890.0,43.0,"['https://m.tiktok.com/h5/share/music/6716842684704622593.html?language=en&source=h5_m&u_code=e0che1fi8f0208&_d=e0che1fi8f0208&share_music_id=6716842684704622593', 'https://m.tiktok.com/h5/share/music/7063882093272615726.html?language=en&source=h5_m&u_code=e0chi60c124i99&_d=e0chi60c124i99&share_music_id=7063882093272615726', 'https://m.tiktok.com/h5/share/music/7058262723859368751.html?language=en&source=h5_m&u_code=e0ci5ik6dg7g79&_d=e0ci5ik6dg7g79&share_music_id=7058262723859368751']"
10,+4,3883.0,Don't Be Shy,Tiësto,883607.0,25831.0,2053786172.0,145756201.0,74.0,"['https://m.tiktok.com/h5/share/music/6992044838635964417.html?language=en&source=h5_m&u_code=e0chm93dak12ah&_d=e0chm93dak12ah&share_music_id=6992044838635964417', 'https://m.tiktok.com/h5/share/music/7032955283915803398.html?language=en&source=h5_m&u_code=e0che12je8l87k&_d=e0che12je8l87k&share_music_id=7032955283915803398', 'https://m.tiktok.com/h5/share/music/6995575301858134018.html?language=en&source=h5_m&u_code=e0chhjh3h0ddid&_d=e0chhjh3h0ddid&share_music_id=6995575301858134018']"
11,+22,3668.0,At My Worst,Pink Sweat$,3371949.0,11758.0,2786906348.0,297439632.0,77.0,"['https://m.tiktok.com/h5/share/music/6849271167547607041.html?language=en&source=h5_m&u_code=e0ci3a18k482k9&_d=e0ci3a18k482k9&share_music_id=6849271167547607041', 'https://m.tiktok.com/h5/share/music/6878204294043060993.html?language=en&source=h5_m&u_code=e0ci4fj10dd2eg&_d=e0ci4fj10dd2eg&share_music_id=6878204294043060993', 'https://m.tiktok.com/h5/share/music/6914289014048639746.html?language=en&source=h5_m&u_code=e0ci6mglk9mad5&_d=e0ci6mglk9mad5&share_music_id=6914289014048639746']"
12,+23,3640.0,Paradise,Bazzi,476677.0,11421.0,1809696347.0,190634962.0,153.0,"['https://www.tiktok.com/share/music/6677379022231440129?enter_from=h5_t', 'https://m.tiktok.com/h5/share/music/7020525918921804549.html?language=en&source=h5_m&u_code=e0ci8bjd9mlfjd&_d=e0ci8bjd9mlfjd&share_music_id=7020525918921804549', 'https://www.tiktok.com/share/music/6676200126505028358?enter_from=h5_t']"
13,+2,3524.0,Riptide,Vance Joy,627649.0,19118.0,1870839615.0,307963964.0,392.0,"['https://m.tiktok.com/h5/share/music/6704975904373737474.html?language=en&source=h5_m&u_code=e0ci16haddiagf&_d=e0ci16haddiagf&share_music_id=6704975904373737474', 'https://www.tiktok.com/music/RIPTIDE-6941743842018233094?enter_from=h5_t&source=h5_t', 'https://m.tiktok.com/h5/share/music/6806015276228938502.html?language=en&source=h5_m&u_code=e0chdjc51fgegj&_d=e0chdjc51fgegj&share_music_id=6806015276228938502']"
14,+40,3497.0,Hollywood,MARINA,10983.0,5088.0,39573776.0,5777034.0,87.0,"['https://m.tiktok.com/h5/share/music/7064975334369725186.html?language=en&source=h5_m&u_code=e0chhfh5d063gk&_d=e0chhfh5d063gk&share_music_id=7064975334369725186', 'https://m.tiktok.com/h5/share/music/6690027050683697926.html?language=en&source=h5_m&u_code=e0chh621h9mg34&_d=e0chh621h9mg34&share_music_id=6690027050683697926', 'https://m.tiktok.com/h5/share/music/6705059659633428482.html?language=en&source=h5_m&u_code=e0chhie3hjk377&_d=e0chhie3hjk377&share_music_id=6705059659633428482']"
15,+214,3421.0,Nail Tech,Jack Harlow,3575.0,2335.0,30021472.0,3001560.0,20.0,"['https://m.tiktok.com/h5/share/music/7066033473110968321.html?language=en&source=h5_m&u_code=e0chi5clk0102h&_d=e0chi5clk0102h&share_music_id=7066033473110968321', 'https://m.tiktok.com/h5/share/music/7066033133501548546.html?language=en&source=h5_m&u_code=e0ci2bkkf3ba3c&_d=e0ci2bkkf3ba3c&share_music_id=7066033133501548546', 'https://m.tiktok.com/h5/share/music/7066033239903471618.html?language=en&source=h5_m&u_code=e0ci49fbdcgi59&_d=e0ci49fbdcgi59&share_music_id=7066033239903471618']"
16,+244,3316.0,Cowboys Don’t Cry,Oliver Tree,7750.0,1303.0,107581697.0,6117484.0,2.0,"['https://m.tiktok.com/h5/share/music/7050676363397302273.html?language=en&source=h5_m&u_code=e0chg1ebe6hkeb&_d=e0chg1ebe6hkeb&share_music_id=7050676363397302273', 'https://m.tiktok.com/h5/share/music/7050635064912119810.html?language=en&source=h5_m&u_code=e0chfdmba2ai0k&_d=e0chfdmba2ai0k&share_music_id=7050635064912119810']"
17,-1,3039.0,Marvin Gaye (feat. Meghan Trainor),Charlie Puth,118803.0,22145.0,258174010.0,42370426.0,34.0,"['https://m.tiktok.com/h5/share/music/6942820143857257218.html?language=en&source=h5_m&u_code=e0ci639fa50c6h&_d=e0ci639fa50c6h&share_music_id=6942820143857257218', 'https://m.tiktok.com/h5/share/music/7064596553800993562.html?language=en&source=h5_m&u_code=e0ci1bj63a50ja&_d=e0ci1bj63a50ja&share_music_id=7064596553800993562', 'https://m.tiktok.com/h5/share/music/6460699015163546382.html?language=en&source=h5_m&u_code=e0chkm5djhfhkg&_d=e0chkm5djhfhkg&share_music_id=6460699015163546382']"
18,+4,3026.0,Photograph,Ed Sheeran,1108116.0,15791.0,2295534907.0,310541572.0,99.0,"['https://m.tiktok.com/h5/share/music/6705017357909100545.html?language=en&source=h5_m&u_code=e0chcdf9ga3iic&_d=e0chcdf9ga3iic&share_music_id=6705017357909100545', 'https://m.tiktok.com/h5/share/music/6864713797710383877.html?language=en&source=h5_m&u_code=e0chhe902jmiig&_d=e0chhe902jmiig&share_music_id=6864713797710383877', 'https://m.tiktok.com/h5/share/music/7022988590980336385.html?language=en&source=h5_m&u_code=e0ci384jkm62jf&_d=e0ci384jkm62jf&share_music_id=7022988590980336385']"
19,+4099,2963.0,Rather Be (feat. Jess Glynne) - The Magician Remix,Clean Bandit,111553.0,2954.0,9741189.0,2004499.0,6.0,"['https://m.tiktok.com/h5/share/music/175950801712844800.html?language=en&source=h5_m&u_code=e0ci0432hc7l3l&_d=e0ci0432hc7l3l&share_music_id=175950801712844800', 'https://m.tiktok.com/h5/share/music/289206946166177792.html?language=en&source=h5_m&u_code=e0ci08cl7i17be&_d=e0ci08cl7i17be&share_music_id=289206946166177792', 'https://m.tiktok.com/h5/share/music/139676778586836992.html?language=en&source=h5_m&u_code=e0ci2gedc78mah&_d=e0ci2gedc78mah&share_music_id=139676778586836992']"
20,+11,2780.0,Yellow,Coldplay,1471262.0,13253.0,5920953525.0,1021080398.0,136.0,"['https://m.tiktok.com/h5/share/music/6897847645717482241.html?language=en&source=h5_m&u_code=e0chh002gh0392&_d=e0chh002gh0392&share_music_id=6897847645717482241', 'https://m.tiktok.com/h5/share/music/6711175901217818626.html?language=en&source=h5_m&u_code=e0chf456lch5fk&_d=e0chf456lch5fk&share_music_id=6711175901217818626', 'https://m.tiktok.com/h5/share/music/6938767787179543297.html?language=en&source=h5_m&u_code=e0chmkke09kge0&_d=e0chmkke09kge0&share_music_id=6938767787179543297']"
