POSTS/DAY,1,2,3,4,5,6,7
100,0.05,0.06,0.06,0.07,0.07,0.08,0.08
250,0.08,0.09,0.1,0.11,0.12,0.12,0.13
500,0.13,0.13,0.15,0.17,0.18,0.16,0.15
750,0.18,0.21,0.22,0.21,0.15,0.12,0.25
1000,0.24,0.23,0.25,0.19,,,
